Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7,Menu8
thu,89,완두콩밥,크림스프,등심돈까스소스,토마토스파게티,수제피클,포기김치,식빵러스크,
fri,66,잡곡밥,떡국,동그랑땡전,오징어무침회,콩나물부추무침,포기김치,두유,
mon,188,차조밥,돈육김치찌개,생선까스타르타르S,어슷우엉콩조림,실곤약야채무침,포기김치,망고주스,
tue,117,완두콩밥,해물짬뽕국,짜장소스,칠리탕수육,만다린샐러드,포기김치,요구르트,
wed,107,흑미밥,닭개장,비엔나브로콜리볶음,두부무조림,오이부추무침,깍두기,수정과,
thu,83,후리가케밥,모듬어묵국,깐부오징어치킨,매콤떡볶이,수제피클,포기김치,그린샐러드,
fri,71,미니쌀밥,잔치국수,왕만두장,아삭고추된장무침,단무지,포기김치,비피더스,
mon,144,차조밥,맑은소고기무국,아귀콩나물찜,우엉강정,펜네샐러드파스타,포기김치,숭늉,
tue,124,강낭콩밥,배추시락국,돈육고추장볶음,달콤감자조림,오이부추생채,포기김치,유자차,
wed,119,완두콩밥,미니우동,피자치즈돈까스,브로콜리맛살볶음,단무지무침,깍두기,열대과일샐러드,
thu,107,취나물밥양념장,청양된장찌개,오징어제육볶음,참나물무생채,구이김,포기김치,찐빵,
fri,67,미니쌀밥,잔치국수,왕만두장,아삭고추된장무침,단무지,포기김치,비피더스,
mon,149,차조밥,얼큰콩나물국,매콤닭갈비볶음,콘치즈오븐구이,배추무생채,포기김치,숭늉,
tue,136,완두콩밥,북어미역국,브로콜리카레소스,피쉬앤칩스타르타르S,쫄면야채무침,포기김치,오미자차,
wed,116,김치볶음밥,미소된장국,갈릭마요미트볼,스크램블에그,그린샐러드키위D,김가루깍두기,밀감,
mon,91,강낭콩밥,홍합어묵탕,제육볶음,한식잡채,토마토샐러드,포기김치,유자차,
tue,55,잡곡밥,소고기국밥,오징어부추전,도토리묵무침,김가루무침,석박지,밤만쥬,
wed,145,차조밥,시락국,제육김치볶음,멸치견과류조림,봄동오이생채,무양파장아찌,숭늉,
thu,156,흑미밥,떡만두국,치킨까스샐러드,사각어묵볶음,마카로니콘범벅,포기김치,매실차,
fri,101,쌀밥,들깨미역국,나물비빔밥볶음고추장,돈육장조림,오징어젓갈무침,김무침포기김치,식혜,
mon,100,강낭콩밥,돈육김치찌개,비엔나떡볶음,깻잎멸치조림,콩나물무침,깍두기,약과,
tue,73,훈제오리볶음밥,얼큰어묵국,로제떡볶이,단무지무침,그린샐러드,포기김치,비피더스,
wed,169,차조밥,바지락무국,제육볶음,양념오뎅,봄동겉절이,포기김치,숭늉,
thu,135,쌀밥,파송송계란국,마파두부,맛쵸킹탕수육,그린샐러드키위D,포기김치,귤,
fri,109,강낭콩밥,맑은콩나물국,야채찜닭,우엉땅콩조림,양배추다시마쌈,포기김치,유자차,
mon,112,흑미밥,참치김치찌개,야채고로케케찹,맛살계란찜,솎음배추나물무침,깍두기,수정과,
tue,75,미니밥,칼국수,단호박고구마튀김,찐만두장,단무지,포기김치,밤만쥬,
wed,155,차조밥,얼큰소고기국,브로콜리비엔나볶음,우엉부추강정,펜네샐러드,포기김치,오미자차,
mon,157,검정콩밥,오징어콩나물국,제육두루치기,고구마맛탕,봄동무생채,포기김치,숭늉,
tue,110,닭갈비볶음밥,모듬어묵국,오징어까스타르타르S,그린샐러드,,깍두기,요구르트,
wed,110,강낭콩밥,도토리묵채국,돈육김치찜,알감자버터구이,삼색겨자냉채,무양파장아찌,망고주스,
thu,62,잡곡밥,떡국,동그랑땡전,오징어무침회,유채겉절이,포기김치,수정과,
fri,173,완두콩밥,들깨미역국,돈육찹스테이크,메쉬드포테이토모닝빵,콩나물무침,포기김치,그린샐러드,
mon,132,흑미밥,부대찌개,매콤오징어볶음,느타리버섯호박볶음,콘슬로우,포기김치,숭늉,
tue,138,강낭콩밥,시락국,제육간장볶음,야채비빔만두,봄동무생채,포기김치,동지 팥죽,
wed,138,차조밥,북어무채국,표고가지탕수육,양념두부조림,물미역초무침,포기김치,오미자차,
thu,81,김치볶음밥,유부장국,청양크림함박,그린샐러드,,깍두기,귤,
fri,183,귀리밥,홍합어묵탕,제육볶음,온두부양념장,봄동시저샐러드,볶음김치,숭늉,
mon,116,강낭콩밥,얼큰콩나물국,뼈없는안동찜닭,연근새우깡,참나물무생채,포기김치,유자차,
tue,114,완두콩밥,크림스프,돈까스샐러드,미트스파게티,수제피클,포기김치,마늘빵,
fri,185,차조밥,떡만두국,콩나물불고기,오징어어묵무침,상추쌈쌈장,포기김치,숭늉,
mon,162,강낭콩밥,돈육김치찌개,비엔나푸실리볶음,깻잎멸치조림,동초무생채,포기김치,망고주스,
tue,139,참치마요밥버거,유부가쓰오장국,매콤국물떡볶이,모듬튀김,만다린샐러드,단무지무침,쥬시쿨,
wed,133,흑미밥,등뼈감자탕,계란장조림,콩나물무침,오이고추된장무침,깍두기,식혜,
thu,99,잡곡밥,바지락순두부찌개,생선까스타르타르S,쫄면야채무침,모듬콩조림,포기김치,매실차,
fri,157,강낭콩밥,얼큰소고기국,궁중떡볶이,야채고로케케찹,유채겉절이,포기김치,숭늉,
mon,175,흑미밥,시락국,제육볶음,콘치즈버터구이,콩나물무침,포기김치,수정과,
tue,149,완두콩밥,미소된장국,등심돈까스,수제비뇨끼,양배추샐러드,깍두기,요구르트,
wed,93,콩나물밥양념장,냉이된장국,코다리무조림,참나물무생채,구이김,포기김치,유자차,
thu,101,치킨마요덮밥,김치두부국,사각어묵볶음,감자튀김케찹,그린샐러드,포기김치,망고주스,
fri,154,차조밥,북어채계란국,제육김치볶음,호박버섯볶음,상추쌈쌈장,포기김치,숭늉,
mon,128,완두콩밥,종합어묵국,카레소스,새우까스타르타르소스,푸실리샐러드,포기김치,오미자차,
tue,116,잡곡밥,바지락살미역국,닭데리야끼조림,두부무조림,봄동겉절이,포기김치,매실차,
wed,101,강낭콩밥,참치김치찌개,갈릭마요미트볼,부들계란찜,물파래무침,무양파장아찌,귤,
mon,94,흑미밥,순대국밥소면,모듬야채전,부추겉절이,오이고추양파무침,깍두기,요구르트,
tue,197,차조밥,건새우아욱국,오징어불고기,양념오뎅,유채겉절이,포기김치,숭늉,
wed,144,강낭콩밥,참치김치찌개,스크램블에그,야채비빔만두,열무된장무침,고추마늘장아찌,안흥찐빵,
thu,127,잡곡밥,다슬기국,뼈없는안동찜닭,콩나물무침,마카로니샐러드,포기김치,오미자차,
fri,144,비빔밥,청양된장찌개,돈육계란장조림,명엽채볶음,포기김치,매실차,,
mon,69,흑미밥,닭개장,비엔나푸실리볶음,감자조림,물파래무생채,포기김치,수정과,
mon,72,백미밥,칼국수,오징어초무침,새송이어묵조림,오이고추된장무침,포기김치,요구르트,
tue,182,차조밥,꽃게된장국,제육두루치기,브로콜리맛살볶음,콩나물무침,포기김치,숭늉,
wed,179,강낭콩밥,김치어묵국,새우까스허니머스타드S,명엽채볶음,시금치나물무침,고추마늘장아찌,매실차,
mon,157,비빔밥쌀밥,들깨미역국,돈육계란장조림,땅콩멸치볶음,,포기김치,귤,
tue,126,흑미밥,돈육김치찌개,해물동그랑땡전케찹,동초무생채,연근땅콩조림,깍두기,유자차,
wed,83,훈제오리볶음밥,팽이미소된장국,로제떡볶이,그린샐러드,,포기김치,비피더스,
thu,166,귀리밥,호박수제비국,제육볶음,도토리묵양념장,상추유채겉절이,포기김치,숭늉,
fri,128,오곡밥,돈육김치찌개,한식잡채,보름삼색나물,생김구이,포기김치,부럼,
mon,115,병아리콩밥,오징어무국,비엔나푸실리볶음,알감자조림,쑥갓두부무침,포기김치,수정과,
tue,121,완두콩밥,미소된장국,순살등심돈까스,양념오뎅,그린샐러드,포기김치,망고주스,
wed,66,쌀밥,가쓰오우동,매콤떡볶이,순대야채볶음,모듬튀김,깍두기,요구르트,
thu,157,차조밥,부대찌개,야채계란찜,고기우엉조림,열무된장무침,고추마늘장아찌,오미자차,
fri,132,흑미밥,떡만두국,치킨까스샐러드,브로콜리비엔나볶음,무생채,포기김치,숭늉,
mon,122,병아리콩밥,북어미역국,매콤돈육떡찜,사각어묵볶음,동초무생채,무양파장아찌,매실차,
tue,92,완두콩밥,계란국,마파두부,깐풍기,천사채크래미샐러드,포기김치,유자차,
wed,83,취나물무밥,시락국,제육볶음,견과류멸치조림,봄동겉절이,포기김치,약과,
thu,61,차조밥,얼큰소고기국,생선까스타르타르s,쫄면야채무침,마카로니샐러드,포기김치,숭늉,
mon,151,강낭콩밥,새알미역국,뼈없는안동찜닭,돈민찌두부조림,유채무생채,포기김치,망고주스,
tue,97,흑미밥,맑은콩나물국,제육볶음,충무식오징어무침,연근땅콩조림,포기김치,오미자차,
wed,81,미니밥,닭칼국수,찐만두,오이부추무침,무양파장아찌,깍두기,수정과,
thu,179,차조밥,홍합어묵탕,제육볶음,고구마떡맛탕,동초겉절이,포기김치,숭늉,
fri,175,치즈닭갈비볶음밥,맑은콩나물국,청양풍볶음우동,그린샐러드,,포기김치,요구르트,
tue,131,흑미밥,돈육김치찌개,동그랑땡전,엄지새송이호박볶음,푸실리샐러드,깍두기,망고주스,
wed,95,잡곡밥,떡국,모듬야채전,돈육장조림,미나리무생채,포기김치,수정과,
thu,109,차조밥,냉이들깨무국,오징어불고기,연근콩조림,콩나물무침,포기김치,사과쿠키,
fri,115,강낭콩밥,참치김치찌개,야채비빔만두,부들계란찜,시금치나물무침,포기김치,오렌지,
mon,117,흑미밥,등뼈감자탕,생선까스타르타르S,쫄면야채무침,치커리유자생채,깍두기,식혜,
tue,106,완두콩밥,소고기미역국,미트볼라따뚜이,두부구이양념장,미나리무생채,포기김치,매실차,
wed,84,잡곡밥,순대돼지국밥,바싹김치전,도토리묵양념장,부추겉절이,깍두기,유자차,
mon,139,차조밥,참치김치찌개,오징어까스타르타르s,마늘쫑어묵볶음,양배추쌈장,고추마늘장아찌,냉녹차,
tue,104,강낭콩밥,맑은콩나물국,야채찜닭,우엉강정,오이부추무침,포기김치,망고주스,
wed,120,완두콩밥,미니우동,돈까스카레덮밥,그린샐러드,수제피클,,오미자차,
thu,119,흑미밥,청양된장찌개,제육볶음,온두부양념장,상추쌈쌈장,볶음김치,사과잼쿠키,
fri,75,쌀밥,바지락칼국수,왕만두,도토리묵무침,단무지,포기김치,수정과,
mon,163,차조밥,시락국,돈육매운찜,콘치즈구이,참나물무생채,포기김치,냉녹차,
tue,107,강낭콩밥,바지락순두부찌개,치킨까스샐러드,멸치땅콩볶음,콩나물무침,포기김치,망고주스,
wed,142,닭갈비볶음밥,들깨미역국,굴소스볶음우동,그린샐러드유자D,,포기김치,바나나,
thu,118,콩나물밥양념장,청양된장찌개,제육볶음,동초겉절이,구이김,포기김치,식혜,
fri,76,후라가케밥,미소된장국,순대떡볶이,모듬튀김,봄동시저샐러드,포기김치,유자차,
mon,144,차조밥,감자수제비국,제육볶음,어향두부무조림,동초무생채,배추김치,냉녹차,
tue,115,병아리콩밥,얼큰소고기국,야채고로케케찹,둥근어묵볶음,세발나물김무침,배추김치,미숫가루,
wed,106,강낭콩밥,쑥들깨국,돈육계란장조림,야채비빔만두,마카로니콘샐러드,배추김치,매실차,
mon,90,흑미밥,닭곰탕,동그랑땡엿장조림,알감자조림,부추겉절이,깍두기,오렌지,
tue,69,쌀밥,잔치국수,순대야채볶음,왕만두,단무지,포기김치,오미자차,
wed,128,차조밥,돈육김치찌개,비엔나떡볶음,깻잎멸치볶음,펜네샐러드,포기김치,냉녹차,
thu,91,병아리콩밥,얼큰어묵국,생선까스타르타르S,실곤약무침,두부흑임자샐러드,포기김치,아이스유자차,
fri,107,흑미밥,북어무채국,닭갈비볶음,비빔막국수,열무된장무침,포기김치,수정과,
mon,78,강낭콩밥,시락국,제육김치볶음,고구마떡맛탕,맛살콩나물냉채,깍두기,꿀토마토,
tue,85,햄김치볶음밥,,청양크림함박,그린샐러드,오이피클,포기김치,요구르트,
wed,130,차조밥,돈육김치찌개,한식잡채,오징어초무침,열무된장나물,고추마늘장아찌,냉녹차,
thu,130,제육비빔밥,청양된장찌개,단호박고구마튀김,,,포기김치,수정과,
fri,101,흑미밥,바지락미역국,닭살데리야끼조림,땅콩멸치볶음,콩나물무침,포기김치,밤만쥬,
mon,94,강낭콩밥,김치콩나물국,제육간장불고기,쫄면야채무침,으깬감자샐러드,깍두기,매실차,
tue,75,완두콩밥,짬뽕국,짜장소스,탕수육칠리소스,그린샐러드,포기김치,요구르트,
wed,132,귀리밥,떡만두국,콩나물불고기,충무식오징어무침,상추쌈장,포기김치,냉녹차,
thu,125,취나물밥양념장,모듬햄김치찌개,고등어엿장구이,동초무생채,구이김,고추마늘장아찌,미숫가루,
fri,81,율무밥,얼큰소고기국,시금치프리타타,마늘쫑어묵볶음,오징어젓갈무침,포기김치,망고주스,
mon,76,흑미밥,돼지순대국다대기,바싹김치전,도토리묵야채무침,부추양파겉절이,깍두기,요구르트,
tue,89,김밥볶음밥,유부장국,매콤달콤떡볶이,김말이만두튀김,핫도그,포기김치,쥬시쿨,
wed,141,차조밥,북어무국,닭볶음탕,한식잡채,동초무생채,포기김치,냉녹차,
thu,124,강낭콩밥,새알미역국,제육볶음,모듬쌈강된장,,포기김치,수정과,
fri,75,완두콩밥,미니우동,피자돈까스,감자튀김케찹,그린샐러드,포기김치,바나나,
tue,58,흑미밥,닭개장,브로콜리비엔나볶음,마카로니콘샐러드,오이부추생채,포기김치,오미자차,
wed,138,차조밥,감자된장찌개,돈육매운찜,계란맛살볶음,오이부추무침,포기김치,냉녹차,
thu,79,병아리콩밥,참치김치찌개,고등어무조림,춘권사모사칠리,그린샐러드,고추마늘장아찌,망고주스,
fri,81,흑미밥,전주식콩나물국,제육볶음,부추양파무침,단호박블루베리샐러드,깍두기,매실차,
mon,56,귀리밥,근대된장국,돈육계란장조림,야채비빔만두,견과류멸치볶음,포기김치,식혜,
tue,58,후라가케밥,얼큰어묵국,로제떡볶이,순대찜,고추양파된장무침,포기김치,복숭아아이스티,
wed,137,차조밥,북어미역국,제육김치볶음,온두부양념장,콩나물무침,양념깻잎지,유자민트티,
mon,113,병아리콩밥,바지락순두부찌개,오징어까스타르타르S,야채쫄면,단무지무침,포기김치,미숫가루,
tue,116,쌀밥,냉모밀국수大,등심돈까스,양배추샐러드,수제피클,포기김치,마늘빵,
wed,84,흑미밥,등뼈감자탕,청양고추왕동그랑땡,도라지진미채무침,동초겉절이,깍두기,냉녹차,
thu,62,잡곡밥,오징어콩나물국,닭살데리야끼조림,콩알버섯어묵볶음,무생채,포기김치,석류주스,
fri,124,차조밥,청양된장찌개,오징어돈육볶음,콘치즈버터구이,참나물무생채,포기김치,아이스자몽차,
mon,108,병아리콩밥,콩나물냉국,뼈없는묵은지찜닭,크림떡볶이,상추치커리생채,햇양파무장아찌,오미자차,
tue,118,카레라이스,물만두국,청양고추소시지구이,만다린샐러드,,포기김치,복숭아아이스티,
wed,102,미니밥,닭칼국수,바싹김치전,도토리묵무침,,깍두기,비피더스,
thu,71,베이컨김치볶음밥,유부장국,계란후라이,모듬가츠,수제피클,포기김치,요구르트,
fri,119,차조밥,모시조개콩나물국,파채버섯불고기,브로콜리맛살볶음,미나리무생채,포기김치,냉녹차,
mon,96,콩나물밥양념장,돈육김치찌개,고등어엿장구이,애기열무겉절이,구이김장,고추마늘장아찌,오미자차,
wed,99,중화덮밥,오이미역냉국,군만두,양배추샐러드,,포기김치,석류주스,
mon,84,미니밥,손만두떡국大,단호박고구마튀김,오징어초무침,,포기김치,밤만쥬,
wed,122,차조밥,차돌된장찌개,브로콜리비엔나볶음,한식잡채,열무겉절이,포기김치,허니자몽블랙티,
thu,116,쭈꾸미제육비빔밥,들깨미역국,사각어묵볶음,마카로니콘샐러드,,포기김치,요구르트,
fri,105,쌀밥,김치말이국수,메밀전병,,,무양파장아찌,꽈배기도넛츠,
mon,65,귀리밥,육개장,소시지달걀부침,가지볶음,맛김구이,깍두기,꿀토마토,
tue,114,차조밥,배추된장국,국물깻잎닭갈비,알감자조림,겨자삼색냉채,포기김치,망고주스,
wed,115,완두콩밥,계란국,마파두부소스,미트볼조랭이떡강정,그린샐러드,포기김치,유자민트티,
thu,111,흑미밥,도토리묵냉국,돈육김치찜,호박느타리볶음,열무겉절이,무양파장아찌,매실차,
fri,104,쌀밥,닭고기쌀국수,핫도그,,단무지,포기김치,요구르트,
mon,84,쌀밥,영양닭죽,표고가지탕수육,아삭고추양파무침,,깍두기,앙버터모닝빵,
tue,130,흑미밥,돈육김치찌개,오징어까스타르타르S,가지양파볶음,새콤파채콩나물무침,고추마늘장아찌,냉녹차,
wed,124,귀리밥,새알미역국,고추장불고기,모듬쌈강된장,,포기김치,포기김치,
thu,110,취나물밥양념장,북어무국,돈육계란장조림,얼갈이겉절이,구이김,포기김치,미숫가루,
fri,84,닭갈비볶음밥,미소된장국,굴소스볶음우동,그린샐러드,,포기김치,바나나,
mon,65,오징어덮밥,콩나물냉국,계란후라이,으깬감자샐러드,,깍두기,비피더스,
wed,148,귀리밥,김치콩나물국,바싹불고기,알감자버터구이,상추겉절이,양념깻잎지,복숭아아이스티,
thu,136,병아리콩밥,닭볶음탕,야채고로케케찹,비빔당면,열무된장무침,포기김치,냉녹차,
fri,100,쌀밥,물냉면,왕만두,단무지,,열무김치,찐옥수수,
mon,68,흑미밥,만두육개장大,청경채찜,도라지진미채무침,파송송김무침,포기김치,매실차,
tue,145,완두콩밥,참치김치찌개,뼈없는안동찜닭,깻잎멸치볶음,마카로니콘샐러드,포기김치,냉녹차,
wed,130,귀리밥,바지락순두부찌개,통계란떡볶이,해쉬포테이토,오이부추무침,포기김치,자몽허니블랙티,
thu,95,쌀밥,냉모밀국수大,등심돈까스,양배추샐러드,수제피클,포기김치,마늘빵,
fri,112,강낭콩밥,물떡어묵탕,불맛제육볶음,야채비빔만두,청경채겉절이,포기김치,미숫가루,
mon,81,차조밥,사골떡만두국大,모듬야채전,오징어초무침,,포기김치,요구르트,
tue,156,차조밥,부대찌개,돈육두부짜글이,콘치즈버터구이,오이송송이,포기김치,오미자차,
wed,140,완두콩밥,북어미역국,생선까스타르타르S,쫄면야채무침,가지양파볶음,포기김치,컵빙수,
mon,136,계란야채볶음밥,짬뽕국,짜장볶음우동,돈까스샐러드,단무지,포기김치,냉녹차,
tue,70,병아리콩밥,가지냉국,돈육김치찜,어묵채파프리카볶음,배추겉절이,고추마늘장아찌,식혜,
wed,71,찰밥,닭곰탕당면,단호박고구마튀김,오징어젓갈무침,부추양파무침,포기김치,매실차,
thu,157,귀리밥,감자수제비국,콩나물불고기,충무식오징어무침,애기열무겉절이,포기김치,식혜,
fri,96,강낭콩밥,돈육김치찌개,고등어카레구이,우엉땅콩조림,브로콜리쌈다시마,포기김치,망고주스,
mon,105,흑미밥,차돌된장찌개,부들계란찜,로제떡볶이,무생채,포기김치,유자민트티,
tue,103,쌀밥,냉잔치국수,순대야채볶음,고추양파된장무침,핫도그,포기김치,요구르트,
wed,63,완두콩밥,오징어무국,야채듬뿍카레소스,미트볼조랭이떡강정,단무지무침,포기김치,수정과,
thu,108,차조밥,북어무국,닭살데리야끼조림,양념오뎅,배추겉절이,포기김치,냉녹차,
fri,88,흑미밥,뼈없는감자탕,한식잡채,깐풍만두튀김,부추양파겉절이,포기김치,수박화채,
mon,99,병아리콩밥,근대된장국,돈육매운찜,계란맛살볶음,오이송송이,포기김치,매실차,
tue,103,완두콩밥,콩나물냉국,짬뽕덮밥소스,계란후라이,천사채크래미샐러드,포기김치,쥬시쿨,
wed,64,귀리밥,얼큰소고기버섯국,소시지달걀부침,도라지진미채무침,으깬감자샐러드,포기김치,오미자차,
mon,94,차조밥,부대찌개,돈육두부조림,우엉땅콩볶음,펜네샐러드,포기김치,미숫가루,
tue,135,닭갈비볶음밥,콩나물냉국,피쉬앤칩스,그린샐러드,,포기김치,바나나,
wed,100,강낭콩밥,돈육김치찌개,비엔나떡볶음,깻잎멸치조림,애기열무겉절이,포기김치,자몽허니블랙티,
thu,93,흑미밥,미니모밀국수,오징어불고기,달걀두부구이,배추겉절이,포기김치,복숭아아이스티,
fri,86,잡채덮밥,계란국,짜장소스,깐풍칠리만두,,포기김치,비피더스,
mon,166,차조밥,감자된장찌개,고추장불고기,어묵피망볶음,양배추쌈장,포기김치,미숫가루,
tue,168,취나물밥양념장,돈육김치찌개,새우까스타르타르s,애기열무겉절이,도시락김,포기김치,매실차,
wed,132,병아리콩밥,닭개장,메밀전병,청포묵김무침,고추양파된장무침,포기김치,망고주스,
thu,105,완두콩밥,미소된장국,순살등심돈까스,토마토스파게티,양배추적채샐러드,포기김치,오미자차,
fri,65,쌀밥,해물칼국수,왕만두,도토리묵무침,단무지,포기김치,수정과,
tue,152,귀리밥,오이미역냉국,돈육김치찜,알감자조림,천사채샐러드,포기김치,미숫가루,
wed,139,흑미밥,모듬어묵국,치킨까스,쫄면야채무침,배추나물,포기김치,자몽아이스티,
thu,92,강낭콩밥,북어미역국,떡갈비새송이조림,견과류멸치볶음,오이송송이,포기김치,꿀토마토,
fri,87,차조밥,떡만두국,오징어야채무침,청양동그랑땡전,모듬콩조림,포기김치,복숭아아이스티,
mon,182,귀리밥,청양된장찌개,당면야채찜닭,가지양파볶음,마카로니콘샐러드,포기김치,미숫가루,
tue,186,병아리콩밥,바지락순두부찌개,불맛제육볶음,느타리버섯호박볶음,단배추겉절이,포기김치,망고주스,
wed,175,쭈꾸미제육비빔밥,오이미역냉국,사각어묵볶음,펜네샐러드,,포기김치,오미자차,
thu,144,강낭콩밥,냉모밀국수미니,계란장조림,야채고로케케찹,해초샐러드,포기김치,식혜,
fri,63,후리가케밥,유부장국,순대국물떡볶이,모듬튀김,단무지무침,포기김치,쥬시쿨,
mon,162,차조밥,근대된장국,고추장불고기,비빔당면,양배추쌈쌈장,포기김치,미숫가루,
tue,118,취나물밥양념장,돈육김치찌개,오징어까스타르타르S,애기열무겉절이,도시락김,고추마늘장아찌,매실차,
wed,131,흑미밥,감자수제비국,국물,마늘쫑어묵볶음,참나물무생채,포기김치,유자차,
