Date,Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7
2022-06-01,tue,,지방선거,,,,,,
2022-06-02,wed,99,중화덮밥,오이미역냉국,군만두,양배추샐러드,,포기김치,석류주스
2022-06-03,mon,84,미니밥,손만두떡국(大),단호박&고구마튀김,오징어초무침,,포기김치,밤만쥬
2022-06-06,tue,,현충일,,,,,,
2022-06-07,wed,122,차조밥/쌀밥,차돌된장찌개,브로콜리비엔나볶음,한식잡채,♣열무겉절이,포기김치,♣허니자몽블랙티
2022-06-08,thu,116,♣쭈꾸미제육비빔밥,들깨미역국,사각어묵볶음,마카로니콘샐러드,,포기김치,요구르트
2022-06-09,fri,105,,♣김치말이국수,메밀전병,,,무양파장아찌,꽈배기도넛츠
2022-06-10,mon,65,귀리밥/쌀밥,육개장,소시지달걀부침,♣가지볶음,맛김구이,깍두기,♣꿀토마토
2022-06-13,tue,114,차조밥/쌀밥,배추된장국,국물깻잎닭갈비,알감자조림,겨자삼색냉채,포기김치,♣망고주스
2022-06-14,wed,115,완두콩밥/쌀밥,계란국,마파두부소스,미트볼조랭이떡강정,그린샐러드,포기김치,♣유자민트티
2022-06-15,thu,111,흑미밥/쌀밥,♣도토리묵냉국,돈육김치찜,호박느타리볶음,열무겉절이,무양파장아찌,매실차
2022-06-16,fri,104,,닭고기쌀국수,핫도그,,단무지,포기김치,요구르트
2022-06-17,mon,84,,영양닭죽,♣표고가지탕수육,아삭고추양파무침,,깍두기,앙버터모닝빵
2022-06-20,tue,130,흑미밥/쌀밥,돈육김치찌개,오징어까스*타르타르S,♣가지양파볶음,새콤파채콩나물무침,고추마늘장아찌,냉녹차
2022-06-21,wed,124,귀리밥/쌀밥,새알미역국,고추장불고기,모듬쌈&강된장,,포기김치,포기김치
2022-06-22,thu,110,취나물밥*양념장,북어무국,돈육계란장조림,♣얼갈이겉절이,구이김,포기김치,♣미숫가루
2022-06-23,fri,84,닭갈비볶음밥,미소된장국,굴소스볶음우동,그린샐러드,,포기김치,바나나
2022-06-24,mon,65,오징어덮밥,콩나물냉국,계란후라이,으깬감자샐러드,,깍두기,비피더스
2022-06-27,tue,,가스공급중단/식당미운영,,,,,,
2022-06-28,wed,148,귀리밥/쌀밥,김치콩나물국,바싹불고기,알감자버터구이,상추겉절이,양념깻잎지,복숭아아이스티
2022-06-29,thu,136,병아리콩밥/쌀밥,닭볶음탕,야채고로케*케찹,비빔당면,♣열무된장무침,포기김치,냉녹차
2022-06-30,fri,100,,♣물냉면,왕만두,단무지,,열무김치,♣찐옥수수
2022-07-01,mon,68,흑미밥/쌀밥,만두육개장(大),청경채찜,도라지진미채무침,파송송김무침,포기김치,♣매실차
2022-07-04,tue,145,완두콩밥/쌀밥,참치김치찌개,뼈없는안동찜닭,깻잎멸치볶음,마카로니콘샐러드,포기김치,냉녹차
2022-07-05,wed,130,귀리밥/쌀밥,바지락순두부찌개,통계란떡볶이,해쉬포테이토,오이부추무침,포기김치,♣자몽허니블랙티
2022-07-06,thu,95,,♣냉모밀국수(大),등심돈까스,양배추샐러드,수제피클,포기김치,마늘빵
2022-07-07,fri,112,강낭콩밥/쌀밥,물떡어묵탕,불맛제육볶음,야채비빔만두,청경채겉절이,포기김치,♣미숫가루
2022-07-08,mon,81,차조밥,사골떡만두국(大),모듬야채전,오징어초무침,,포기김치,요구르트
2022-07-11,tue,156,차조밥/쌀밥,부대찌개,돈육두부짜글이,콘치즈버터구이,♣오이송송이,포기김치,♣오미자차
2022-07-12,wed,140,완두콩밥/쌀밥,북어미역국,생선까스*타르타르S,쫄면야채무침,가지양파볶음,포기김치,♣컵빙수
2022-07-13,mon,136,계란야채볶음밥,짬뽕국,짜장볶음우동,돈까스샐러드,단무지,포기김치,냉녹차
2022-07-14,tue,70,병아리콩밥/쌀밥,♣가지냉국,돈육김치찜,어묵채파프리카볶음,배추겉절이,고추마늘장아찌,♣식혜
2022-07-15,wed,71,찰밥,"초복맞이
♣닭곰탕*당면",단호박&고구마튀김,오징어젓갈무침,부추양파무침,포기김치,매실차
2022-07-18,thu,157,귀리밥/쌀밥,감자수제비국,콩나물불고기,충무식오징어무침,♣애기열무겉절이,포기김치,♣식혜
2022-07-19,fri,96,강낭콩밥/쌀밥,돈육김치찌개,고등어카레구이,우엉땅콩조림,브로콜리&쌈다시마,포기김치,망고주스
2022-07-20,mon,105,흑미밥/쌀밥,차돌된장찌개,부들계란찜,로제떡볶이,무생채,포기김치,유자민트티
2022-07-21,tue,103,,냉잔치국수,순대야채볶음,고추양파된장무침,핫도그,포기김치,요구르트
2022-07-22,wed,63,완두콩밥/쌀밥,오징어무국,야채듬뿍카레소스,미트볼조랭이떡강정,단무지무침,포기김치,수정과
2022-07-25,thu,108,차조밥/쌀밥,북어무국,닭살데리야끼조림,양념오뎅,배추겉절이,포기김치,냉녹차
2022-07-26,fri,88,흑미밥/쌀밥,뼈없는감자탕,한식잡채,깐풍만두튀김,부추양파겉절이,포기김치,♣수박화채
2022-07-27,mon,99,병아리콩밥/쌀밥,근대된장국,돈육매운찜,계란맛살볶음,오이송송이,포기김치,매실차
2022-07-28,tue,103,완두콩밥/쌀밥,콩나물냉국,짬뽕덮밥소스,계란후라이,천사채크래미샐러드,포기김치,쥬시쿨
2022-07-29,wed,64,귀리밥/쌀밥,얼큰소고기버섯국,소시지달걀부침,♣도라지진미채무침,으깬감자샐러드,포기김치,♣오미자차
2022-08-01,mon,94,차조밥/쌀밥,부대찌개,돈육두부조림,우엉땅콩볶음,펜네샐러드,포기김치,미숫가루
2022-08-02,tue,135,닭갈비볶음밥,콩나물냉국,피쉬앤칩스,그린샐러드,,포기김치,바나나
2022-08-03,wed,100,강낭콩밥/쌀밥,돈육김치찌개,비엔나떡볶음,깻잎멸치조림,♣애기열무겉절이,포기김치,자몽허니블랙티
2022-08-04,thu,93,흑미밥/쌀밥,미니모밀국수,오징어불고기,달걀두부구이,배추겉절이,포기김치,복숭아아이스티
2022-08-05,fri,86,잡채덮밥,계란국,짜장소스,깐풍칠리만두,,포기김치,비피더스
2022-08-08,mon,166,차조밥/쌀밥,감자된장찌개,고추장불고기,어묵피망볶음,양배추쌈*장,포기김치,♣미숫가루
2022-08-09,tue,168,취나물밥*양념장,돈육김치찌개,새우까스&타르타르s,♣애기열무겉절이,도시락김,포기김치,매실차
2022-08-10,wed,132,병아리콩밥/쌀밥,닭개장,메밀전병,청포묵김무침,고추양파된장무침,포기김치,망고주스
2022-08-11,thu,105,완두콩밥/쌀밥,미소된장국,순살등심돈까스,토마토스파게티,양배추적채샐러드,포기김치,오미자차
2022-08-12,fri,65,,해물칼국수,왕만두,도토리묵무침,단무지,포기김치,수정과
2022-08-15,mon,,광복절,,,,,,
2022-08-16,tue,152,귀리밥/쌀밥,오이미역냉국,돈육김치찜,알감자조림,천사채샐러드,포기김치,미숫가루
2022-08-17,wed,139,흑미밥/쌀밥,모듬어묵국,치킨까스,쫄면야채무침,배추나물,포기김치,자몽아이스티
2022-08-18,thu,92,강낭콩밥/쌀밥,북어미역국,떡갈비새송이조림,견과류멸치볶음,오이송송이,포기김치,꿀토마토
2022-08-19,fri,87,차조밥,떡만두국,오징어야채무침,청양동그랑땡전,모듬콩조림,포기김치,복숭아아이스티
2022-08-22,mon,182,귀리밥/쌀밥,청양된장찌개,당면야채찜닭,♣가지양파볶음,마카로니콘샐러드,포기김치,미숫가루
2022-08-23,tue,186,병아리콩밥/쌀밥,바지락순두부찌개,불맛제육볶음,느타리버섯호박볶음,단배추겉절이,포기김치,망고주스
2022-08-24,wed,175,쭈꾸미제육비빔밥,오이미역냉국,사각어묵볶음,펜네샐러드,,포기김치,오미자차
2022-08-25,thu,144,강낭콩밥/쌀밥,냉모밀국수(미니),계란장조림,야채고로케*케찹,해초샐러드,포기김치,식혜
2022-08-26,fri,63,후리가케밥,유부장국,순대국물떡볶이,모듬튀김,단무지무침,포기김치,쥬시쿨
2022-08-29,mon,162,차조밥/쌀밥,근대된장국,고추장불고기,비빔당면,양배추쌈*쌈장,포기김치,미숫가루
2022-08-30,tue,118,취나물밥/양념장,돈육김치찌개,오징어까스*타르타르S,♣애기열무겉절이,도시락김,고추마늘장아찌,매실차
2022-08-31,wed,131,흑미밥/쌀밥,감자수제비국,국물,마늘쫑어묵볶음,♣참나물무생채,포기김치,유자차
